"","University","Department","Overall Pay","LW Ratio","Academic Year","Program Year","12 M Gross Pay","9 M Gross Pay","3 M Gross Pay","Fees","Comments","dept"
"181","George Washington University (GW)","Institute for Biomedical Sciences",33000,1.07,"2019-2020","1st","$33,000",NA,NA,NA,NA,"biomed"
"182","George Washington University (GW)","Institute for Biomedical Sciences",33000,1.07,"2019-2020","1st","$33,000",NA,NA,NA,NA,"biomed"
"183","George Washington University (GW)","Institute for Biomedical Sciences",41000,1.33,"2022-2023","4th","$41,000",NA,NA,NA,NA,"biomed"
"184","University of Massachusetts - Dartmouth (UMD)","Biology",17000,0.71,"2022-2023","2nd",NA,"$18,500",NA,"$1,500",NA,"biology"
"185","University of Minnesota - Twin Cities (UM)","Biochemistry, Molecular Biology, and Biophysics",31850,1.39,"2022-2023","4th","$32,000",NA,NA,"$150",NA,"biology"
"186","University of Kentucky (UK)","Plant and Soil Sciences",24000,1.18,"2022-2023","4th","$24,000",NA,NA,NA,NA,"algruiculture"
"187","Drexel University (DU)","Chemical and Biological Engineering",32000,1.33,"2022-2023","4th","$32,000",NA,NA,NA,NA,"chemistry"
"188","Wayne State University","Electrical and Computer Engineering",27000,1.29,"2022-2023","1st","$27,000",NA,NA,NA,NA,"electrical engineering"
"189","University of South Florida (UCF)","Chemical engineering",28400,1.3,"2022-2023","1st","$30,000",NA,NA,"$1,600",NA,"chemistry"
"190","University of Maryland - College Park (UMD)","cse",50000,1.65,"2022-2023","1st","$50,000",NA,NA,NA,NA,"cse"
"191","Boston University (BU)","Brain, Behavior, and Cognition",40000,1.4,"2022-2023","1st","$40,000",NA,NA,NA,"Have to TA (once per year I think?) unless lab buys it out or you get a special award.","brain, behavior, and cognition"
"192","University of Oregon (UO)","Data Science",22439,1.07,"2022-2023","1st",NA,"$22,500",NA,"$61","2500 per month, before taxes, fees and social services deductions. Net monthly salary after that: 1800/month","data science"
"193","University of California - San Diego (UCSD)","Nanoengineering",34239,1.29,"2022-2023","1st","$34,239",NA,NA,NA,NA,"material science"
"194","University of Georgia (UGA)","Plant Biology",28620,1.35,"2022-2023",NA,"$29,620",NA,NA,"$1,000",NA,"biology"
"195","New York University (NYU)","Music Technology",30000,1.01,"2022-2023",NA,NA,"$30,000",NA,NA,"Also covers:
- Health insurance
- Tuition fees","music"
"196","University of Utah","Philosophy",25000,1.12,"2022-2023","1st",NA,"$25,000",NA,NA,NA,"philosophy"
"197","Yale University (YU)","BBS",42000,1.7,"2022-2023","1st","$42,000",NA,NA,NA,NA,"bbs"
"198","Yale University (YU)","BBS",42000,1.7,"2022-2023","1st","$42,000",NA,NA,NA,NA,"bbs"
"199","Yale University (YU)","BBS",42000,1.7,"2022-2023","1st","$42,000",NA,NA,NA,NA,"bbs"
"200","Georgetown University","Chemistry",44129,1.43,"2022-2023",NA,"$44,129",NA,NA,NA,NA,"chemistry"
"201","University of Texas - Austin (UT)","African and African Diaspora Studies",20000,0.88,"2022-2023","4th",NA,"$20,000",NA,NA,NA,"african and african diaspora studies"
"202","University of Wisconsin - Madison (UW)","Anthropology",21000,0.92,"2022-2023","2nd",NA,"$21,000",NA,NA,NA,"anthropology"
"203","Syracuse University","geography",44000,2.06,"2022-2023","4th","$47,000",NA,NA,"$3,000",NA,"geoscience"
"204","University of Nevada - Las Vegas (UNLV)","Psychology",15500,0.68,"2022-2023",NA,NA,"$15,500",NA,NA,NA,"psychology"
"205","Oregon Health and Science University","PBMS",35000,1.5,"2022-2023","1st","$35,000",NA,NA,NA,NA,"pbms"
"206","Purdue University - West Lafayette","Psychological Sciences",18658,0.88,"2022-2023","1st",NA,"$19,000",NA,"$342","No guaranteed summer funding; some faculty are able to employ their students as summer RAs if they have funding","psychology"
"207","University of Virginia (UVA)","Economics",24000,1.05,"2022-2023","2nd","$24,000",NA,NA,NA,NA,"economics"
"208","University of Southern California (USC)","Computer science",40000,1.55,"2022-2023","5th","$40,000",NA,NA,NA,"fellowship 2000","computer science"
"209","Princeton University","Art & Archaeology",38000,1.5,"2015-2016","1st","$38,000",NA,NA,NA,NA,"art & archaeology"
"210","Georgetown University","History",33813,1.1,"2022-2023","2nd",NA,"$33,813",NA,NA,NA,"history"
"211","University of Wyoming (UW)","Chemistry",23375,1.12,"2022-2023","1st","$23,375",NA,NA,NA,NA,"chemistry"
"212","University of Wisconsin - Madison (UW)","Electrical and Computer Engineeringd",26153,1.15,"2022-2023","2nd","$28,153",NA,NA,"$2,000",NA,"electrical engineering"
"213","University of Wisconsin - Madison (UW)","math",25300,1.11,"2022-2023","1st",NA,"$24,000","$3,000","$1,700",NA,"mathematics"
"214","Washington University in St. Louis (Wash U)","DBBS",34500,1.67,"2022-2023","1st","$34,500",NA,NA,NA,NA,"biomed"
"215","Pennsylvania State University (Penn State)","mathematics",32500,1.45,"2022-2023","1st",NA,"$31,000","$1,500",NA,NA,"mathematics"
"216","Miami University (MU)","Geology",25658,1.33,"2022-2023","5th",NA,"$24,158","$1,500",NA,"This is the PhD salary. Master's students make less.","geoscience"
"217","Georgetown University","Government",34000,1.1,"2022-2023","1st",NA,"$34,000",NA,NA,NA,"government"
"218","University of Tennessee Health Science Center","Biomedical Sciences PhD",29505,1.32,"2022-2023","3rd","$30,000",NA,NA,"$495",NA,"biomed"
"219","University of Southern California (USC)","Pharmaceutical and Translational Sciences",39000,1.51,"2022-2023","1st","$39,000",NA,NA,NA,NA,"pharmaceutical science"
"220","University of Denver (DU)","creative writing",21400,0.95,"2022-2023",NA,NA,"$21,400",NA,NA,NA,"creative writing"
"221","University of Tennessee - Knoxville","Bredesen Center",30000,1.41,"2022-2023","1st","$30,000",NA,NA,NA,NA,"bredesen center"
"222","Drexel University (DU)","Biomedical Graduate School",35000,1.45,"2022-2023","3rd","$35,000",NA,NA,NA,NA,"biomed"
"223","Binghamton University - SUNY","Mechanical engineering",24000,1.16,"2022-2023","1st","$24,000",NA,NA,NA,NA,"mechanical engineering"
"224","Virginia Tech","Engineering Education",25392,1.21,"2022-2023","1st","$28,392",NA,NA,"$3,000",NA,"education"
"225","University of Alabama (UA)","Mechanical Engineering",30000,1.43,"2022-2023","4th","$30,000",NA,NA,NA,NA,"mechanical engineering"
"226","University of Washington (UW)","Physics",34000,1.46,"2022-2023","2nd","$35,000",NA,NA,"$1,000",NA,"physics"
"227","University of Washington (UW)","Political Science",24234,1.04,"2022-2023","1st",NA,"$25,011",NA,"$777",NA,"political science"
"228","University of New Mexico (UNM)","Economics",17000,0.81,"2022-2023","1st",NA,"$17,000",NA,NA,NA,"economics"
"229","University of Toronto","Department for the Study of Religion",21500,NA,"2022-2023","1st","$29,500",NA,NA,"$8,000","Optional TA work at 47.17/HR","religious studies"
"230","Tufts University (TU)","Electrical and Computer Engineering",44400,1.59,"2022-2023","1st","$44,400",NA,NA,NA,NA,"electrical engineering"
"231","University of Arkansas - Fayetteville","Mechanical Engineering",14500,0.73,"2020-2021","2nd","$16,500",NA,NA,"$2,000",NA,"mechanical engineering"
"232","Vanderbilt University","Biomedical Engineering",31000,1.35,"2022-2023","3rd","$31,000",NA,NA,NA,NA,"biomed"
"233","Boston College (BC)","Ph.D. in MESA",30556,1.09,"2022-2023","2nd",NA,"$23,000","$7,668","$112","I work 20 hours a week as a graduate research assistant for my stipend. BC fully covers tuition and health insurance, so I only pay back nominal ""activity"" fees. 
Living in Boston on ~30k/yr has been tight enough that I usually have to dip into savings to meet my monthly financial obligations. I am lucky enough to have that financial buffer so things are still working out for me without loans, but it's a pretty privileged position to be in. BC has given grad students a cost of living adjustment starting Fall 2023, so I should be making ~40k/yr moving forward. Looking forward to getting a nice pair of glasses when the first paycheck hits. :)","ph.d. in mesa"
"234","University of California - Berkeley","South and Southeast Asian Studies",34000,1.22,"2022-2023","1st",NA,"$29,000","$5,000",NA,"5 year funding package - 
2 years with no teaching and 29+5k package, 
2 years with teaching (historically topped up to the 29+5k package but the new contract might change that) 
final year with no teaching and 29+5k package. 
Health insurance + all fees (including out of state tuition) is covered - Year 1 came with a $1k relocation stipend too.

","south and southeast asian studies"
"235",NA,"Materials Science and Engineering",31000,NA,"2022-2023","2nd","$31,000",NA,NA,NA,"Pay is increased by $1000 as Dissertator and fees are cut in half.","material science"
"236","University of Texas - Austin (UT)","Computer Science",38000,1.66,"2022-2023","3rd","$38,000",NA,NA,NA,"Raised from $2500/mo in September 2022.","computer science"
"237","Clemson University (CU)","School of Computing",21000,1.01,"2022-2023","3rd",NA,"$20,000","$4,000","$3,000",NA,"computer science"
"238","New York University (NYU)","Neuroscience",40000,1.35,"2022-2023","4th","$40,000",NA,NA,NA,"This number is after tax","neuroscience"
"239","University of Utah","Neuroscience",32500,1.46,"2022-2023","5th","$32,500",NA,NA,NA,NA,"neuroscience"
"240","Clarkson University","ECE",25000,1.22,"2022-2023",NA,"$25,000",NA,NA,NA,NA,"electrical engineering"
"241","CUNY Graduate School and University Center","Physics",31000,1.04,"2022-2023","1st","$31,000",NA,NA,NA,NA,"physics"
"242","University of Missouri (MU)","Biological Engineering",21600,1.05,"2022-2023","1st","$24,000",NA,NA,"$2,400","The fee is depending on number of courses, which school the courses you're taking from, but in general it's roughly about 1200 per semester","biology"
"243","George Mason University (GMU)","Faculty Affairs and Development",17654,0.59,"2022-2023","3rd",NA,"$17,654",NA,NA,"Research Assistant; also includes waiver for 6 credits' tuition and mandatory fees/semester (no set value bc tuition varies by program and in/out-of-state).","faculty affairs and development"
"244","University of Texas - Austin (UT)","human development and family studies",32000,1.4,"2022-2023","1st","$32,000",NA,NA,NA,"TA/GRA before taxes","human development"
"245","Columbia University (CU)","Department of earth and environmental sciences",45000,1.51,"2022-2023","1st","$45,000",NA,NA,NA,NA,"environment"
"246","Purdue University - West Lafayette","PULSe",24700,1.17,"2022-2023","1st","$26,000",NA,NA,"$1,300","Fees include health insurance.","pulse"
"247","University of Washington (UW)","English",27000,1.16,"2022-2023","1st",NA,"$27,000",NA,NA,NA,"english"
"248","University of Connecticut (UConn)","Kinesiology",18000,0.74,"2022-2023","1st",NA,"$20,000",NA,"$2,000",NA,"kinesiology"
"249","University of California - Santa Barbara (UCSB)","Computer Science",32000,1.22,"2022-2023","1st",NA,"$27,000","$5,000",NA,"Regents in CS fellowship - $24k/9mo stipend + $5k summer stipend
One-time academic excellence fellowship - $3k","computer science"
"250","Purdue University - West Lafayette","Chemical Engineering",31150,1.47,"2022-2023","1st","$31,400",NA,NA,"$250",NA,"chemistry"
"251","University of California - Irvine (UCI)","Education",44000,1.51,"2022-2023","1st",NA,"$44,000",NA,NA,NA,"education"
"252","University of California - Irvine (UCI)","Education",44000,1.51,"2022-2023","1st",NA,"$44,000",NA,NA,NA,"education"
"253","Yale University (YU)","Computational Biology and Bioinformatics",40000,1.62,"2022-2023","1st","$40,000",NA,NA,NA,NA,"biology"
"254","University of Pennsylvania Wharton School","Operations, Information, Decisions",49000,NA,"2022-2023",NA,"$49,000",NA,NA,NA,NA,"information science"
"255","Boston College (BC)","Psychology",31000,1.11,"2022-2023",NA,"$31,000",NA,NA,NA,"BC graduate stipends provide approximately $25,000 over nine months of the academic year. Full funding for three summer months is considered $6,000. Summer stipends are not guaranteed but typically provided by the research advisor through a research assistantship.
Beginning in the first year, a student receiving funding from MCGS serves as either a teaching assistant, teaching fellow, or research assistant (see below).","psychology"
"256","University of Virginia (UVA)","Computer Science",35000,1.53,"2022-2023","1st","$35,000",NA,NA,NA,NA,"computer science"
"257","Oklahoma State University (OSU)","philosophy",16700,0.86,"2022-2023","1st",NA,"$16,700",NA,NA,NA,"philosophy"
"258","University of Toronto","Computer Science",18000,NA,"2022-2023","5th","$27,000",NA,NA,"$9,000",NA,"computer science"
"259","Washington University in St Louis","Neuroscience",33500,NA,"2022-2023",NA,"$33,500",NA,NA,NA,NA,"neuroscience"
"260","Purdue University - West Lafayette","Electrical and Computer Engineering",19264,0.91,"2022-2023","1st",NA,"$20,250",NA,"$986",NA,"electrical engineering"
"261","University of Minnesota - Twin Cities (UM)","Mathematics",20571,0.9,"2022-2023","2nd",NA,"$22,003",NA,"$1,432","TA stipend","mathematics"
"262","University of Texas - Austin (UT)","Physics",32000,1.4,"2022-2023","4th","$32,000",NA,NA,NA,NA,"physics"
"263","University of North Carolina - Greensboro (UNCG)","English",17000,0.79,"2022-2023","5th",NA,"$20,000",NA,"$3,000",NA,"english"
"264","Arizona State University (ASU)","Political Science",22500,1.01,"2022-2023","1st",NA,"$23,000",NA,"$500","It includes full coverage health insurance, all tuition is covered as well, the stipend is distributed biweekly over the course of the academic year (August 8, 2022-May 14, 2023) and it is contingent on doing 20 hours of TA work a week. You are on your own to reach out to professors and departments to secure summer funding.","political science"
"265","University of Texas - Austin (UT)","Civil Engineering",31600,1.38,"2022-2023","3rd","$32,000",NA,NA,"$400",NA,"civil engineering"
"266","Harvard University (HU)","Physics",43850,1.53,"2022-2023","1st",NA,"$36,550","$7,300",NA,NA,"physics"
"267","University of Florida (UF)","Chemical engineering",27000,1.19,"2022-2023","1st","$32,000",NA,NA,"$5,000",NA,"chemistry"
"268","Rice University","Chemical and biomolecular engineering",36000,1.65,"2022-2023","1st","$36,000",NA,NA,NA,NA,"biology"
"269",NA,"Chemical and biomolecular engineering",36000,NA,"2022-2023","1st","$36,000",NA,NA,NA,NA,"biology"
"270","Rice University","Chemical and biomolecular engineering",36000,1.65,"2022-2023","1st","$36,000",NA,NA,NA,NA,"biology"
"271","University of Minnesota - Twin Cities (UM)","Comparative and Molecular Biosciences",30000,1.31,"2022-2023","4th","$30,000",NA,NA,NA,NA,"biology"
"272","Stanford University (SU)","Applied physics",52920,1.84,"2022-2023","1st","$52,920",NA,NA,NA,NA,"physics"
"273","University of Michigan - Ann Arbor (UM)","Civil & Environmental Engineering",36084,1.56,"2022-2023","4th","$36,084",NA,NA,NA,NA,"environment"
"274","University of California - Berkeley","Bioengineering",46000,1.66,"2022-2023","1st","$46,000",NA,NA,NA,NA,"biology"
"275","Stanford University (SU)","Biochemistry",50000,1.74,"2022-2023","4th","$50,000",NA,NA,NA,NA,"chemistry"
"276","University of Delaware (UD)","Sociology and Criminal Justice / PhD Criminology",30300,1.19,"2022-2023","3rd",NA,"$22,500","$9,000","$1,200",NA,"sociology"
